2005-01;61
2005-02;150
2005-03;182
2005-04;217
2005-05;246
2005-06;298
2005-07;311
2005-08;336
2005-09;382
2005-10;389
2005-11;447
2005-12;415
2006-01;464
2006-02;449
2006-03;482
2006-04;528
2006-05;541
2006-06;578
2006-07;477
2006-08;520
2006-09;483
2006-10;539
2006-11;471
2006-12;495
2007-01;523
2007-02;492
2007-03;528
2007-04;543
2007-05;515
2007-06;503
2007-07;506
2007-08;503
2007-09;526
2007-10;487
2007-11;501
2007-12;514
2008-01;566
2008-02;551
2008-03;521
2008-04;511
2008-05;548
2008-06;553
2008-07;503
2008-08;509
2008-09;460
2008-10;440
2008-11;479
2008-12;440
2009-01;466
2009-02;490
2009-03;427
2009-04;423
2009-05;449
2009-06;451
2009-07;415
2009-08;459
2009-09;445
2009-10;465
2009-11;426
2009-12;464
2010-01;465
2010-02;458
2010-03;413
2010-04;384
2010-05;457
2010-06;426
2010-07;394
2010-08;389
2010-09;416
2010-10;412
2010-11;375
2010-12;384
2011-01;401
2011-02;355
2011-03;395
2011-04;325
2011-05;354
2011-06;391
2011-07;342
2011-08;291
2011-09;294
2011-10;294
2011-11;271
2011-12;282
2012-01;312
2012-02;309
2012-03;281
2012-04;289
2012-05;259
2012-06;233
2012-07;289
2012-08;233
2012-09;252
2012-10;246
2012-11;267
2012-12;222
2013-01;232
2013-02;172
2013-03;217
2013-04;200
2013-05;164
2013-06;203
2013-07;193
2013-08;185
2013-09;201
2013-10;205
2013-11;179
2013-12;214
2014-01;214
2014-02;170
2014-03;194
2014-04;186
2014-05;206
2014-06;163
2014-07;181
2014-08;176
2014-09;153
2014-10;151
2014-11;153
2014-12;143
2015-01;158
2015-02;176
2015-03;170
2015-04;125
2015-05;117
2015-06;120
2015-07;135
2015-08;102
2015-09;133
2015-10;105
2015-11;124
2015-12;155
2016-01;126
2016-02;113
2016-03;112
2016-04;148
2016-05;93
2016-06;105
2016-07;75
2016-08;85
2016-09;91
2016-10;102
2016-11;84
2016-12;112
2017-01;103
2017-02;109
2017-03;126
2017-04;98
2017-05;112
2017-06;99
2017-07;110
2017-08;83
2017-09;112
2017-10;104
2017-11;70
2017-12;64
2018-01;107
2018-02;101
2018-03;71
2018-04;83
2018-05;86
2018-06;87
2018-07;82
2018-08;71
